Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
10.3846	61	1	27	LastDelay	0.0791189	79118.9	1	4
10.3846	61	1	27	FullDelay	1.67912	1.67912e+06	2	4
10.4023	69	1	29	LastDelay	0.0135076	13507.6	1	19
10.4023	69	1	29	FullDelay	0.0135076	13507.6	1	19
10.4034	49	1	27	LastDelay	0.0744689	74468.9	1	9
10.4034	49	1	27	FullDelay	1.27447	1.27447e+06	2	9
10.4178	57	1	26	LastDelay	0.00363225	3632.25	1	2
10.4178	57	1	26	FullDelay	0.00363225	3632.25	1	2
10.4706	45	1	31	LastDelay	0.0658665	65866.5	1	3
10.4706	45	1	31	FullDelay	2.66587	2.66587e+06	2	3
10.5277	65	1	32	LastDelay	0.253878	253878	1	5
10.5277	65	1	32	FullDelay	0.253878	253878	1	5
10.5277	53	1	32	LastDelay	0.0427378	42737.8	1	5
10.5277	53	1	32	FullDelay	1.84274	1.84274e+06	2	5
10.5803	61	1	34	LastDelay	0.0748312	74831.2	1	4
10.5803	61	1	34	FullDelay	0.0748312	74831.2	1	4
